;Zeit;L Aeq, T=1s;L AFmax, T=1s;
;18.01.2016   09:14:43;114,0 dB(A);114,1 dB(A);
;18.01.2016   09:14:44;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:45;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:46;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:47;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:48;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:49;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:50;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:51;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:52;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:53;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:54;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:55;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:56;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:57;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:58;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:14:59;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:15:01;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:15:02;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:15:03;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:15:04;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:15:05;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:15:06;114,1 dB(A);114,2 dB(A);
;18.01.2016   09:15:07;114,1 dB(A);114,2 dB(A);
;18.01.2016   09:15:08;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:15:09;114,1 dB(A);114,2 dB(A);
;18.01.2016   09:15:10;114,1 dB(A);114,2 dB(A);
;18.01.2016   09:15:11;114,1 dB(A);114,2 dB(A);
;18.01.2016   09:15:12;114,1 dB(A);114,2 dB(A);
;18.01.2016   09:15:13;114,1 dB(A);114,2 dB(A);
;18.01.2016   09:15:14;114,1 dB(A);114,1 dB(A);
;18.01.2016   09:15:15;114,1 dB(A);114,2 dB(A);
;18.01.2016   09:15:16;114,1 dB(A);114,2 dB(A);
;18.01.2016   09:15:17;114,2 dB(A);114,2 dB(A);
;18.01.2016   09:15:18;114,2 dB(A);114,2 dB(A);
;18.01.2016   09:20:50;52,1 dB(A);54,9 dB(A);
;18.01.2016   09:20:51;51,1 dB(A);52,9 dB(A);
;18.01.2016   09:20:52;53,8 dB(A);56,3 dB(A);
;18.01.2016   09:20:53;54,2 dB(A);57,8 dB(A);
;18.01.2016   09:20:54;54,0 dB(A);56,1 dB(A);
;18.01.2016   09:20:55;52,0 dB(A);55,0 dB(A);
;18.01.2016   09:20:56;50,2 dB(A);50,7 dB(A);
;18.01.2016   09:20:57;50,9 dB(A);52,9 dB(A);
;18.01.2016   09:20:58;54,3 dB(A);55,7 dB(A);
;18.01.2016   09:20:59;52,3 dB(A);53,7 dB(A);
;18.01.2016   09:21:01;52,3 dB(A);53,7 dB(A);
;18.01.2016   09:21:02;52,0 dB(A);52,7 dB(A);
;18.01.2016   09:21:03;52,6 dB(A);52,9 dB(A);
;18.01.2016   09:21:04;53,4 dB(A);54,3 dB(A);
;18.01.2016   09:21:05;54,6 dB(A);55,0 dB(A);
;18.01.2016   09:21:06;54,0 dB(A);54,4 dB(A);
;18.01.2016   09:21:07;53,8 dB(A);54,8 dB(A);
;18.01.2016   09:21:08;52,6 dB(A);54,1 dB(A);
;18.01.2016   09:21:09;54,3 dB(A);56,2 dB(A);
;18.01.2016   09:21:10;52,4 dB(A);52,8 dB(A);
;18.01.2016   09:21:11;52,4 dB(A);54,4 dB(A);
;18.01.2016   09:21:12;51,3 dB(A);51,6 dB(A);
;18.01.2016   09:21:13;51,3 dB(A);51,6 dB(A);
;18.01.2016   09:21:14;53,2 dB(A);59,1 dB(A);
;18.01.2016   09:21:15;55,0 dB(A);59,1 dB(A);
;18.01.2016   09:21:16;53,9 dB(A);56,6 dB(A);
;18.01.2016   09:21:17;53,3 dB(A);56,7 dB(A);
;18.01.2016   09:21:18;57,5 dB(A);60,4 dB(A);
;18.01.2016   09:21:19;60,8 dB(A);62,1 dB(A);
;18.01.2016   09:21:20;63,1 dB(A);69,2 dB(A);
;18.01.2016   09:21:21;61,1 dB(A);64,9 dB(A);
;18.01.2016   09:21:22;57,0 dB(A);58,4 dB(A);
;18.01.2016   09:21:23;53,9 dB(A);56,5 dB(A);
;18.01.2016   09:21:24;55,8 dB(A);58,6 dB(A);
